NumCom,Combinacion,TP,TN,FP,FN
708,0010001101000000,30,354,28,29
709,1010001101000000,1,325,57,58
710,0110001101000000,30,354,28,29
711,1110001101000000,1,325,57,58
712,0001001101000000,21,345,37,38
713,1001001101000000,1,325,57,58
714,0101001101000000,21,345,37,38
715,1101001101000000,1,325,57,58
716,0011001101000000,28,352,30,31
717,1011001101000000,1,325,57,58
718,0111001101000000,28,352,30,31
719,1111001101000000,1,325,57,58
720,0000101101000000,29,353,29,30
721,1000101101000000,2,326,56,57
722,0100101101000000,29,353,29,30
723,1100101101000000,2,326,56,57
724,0010101101000000,30,354,28,29
725,1010101101000000,1,325,57,58
726,0110101101000000,30,354,28,29
727,1110101101000000,1,325,57,58
728,0001101101000000,24,348,34,35
729,1001101101000000,1,325,57,58
730,0101101101000000,24,348,34,35
731,1101101101000000,1,325,57,58
732,0011101101000000,27,351,31,32
733,1011101101000000,1,325,57,58
734,0111101101000000,27,351,31,32
735,1111101101000000,1,325,57,58
736,0000011101000000,24,348,34,35
737,1000011101000000,1,325,57,58
738,0100011101000000,24,348,34,35
739,1100011101000000,1,325,57,58
740,0010011101000000,27,351,31,32
741,1010011101000000,1,325,57,58
742,0110011101000000,27,351,31,32
743,1110011101000000,1,325,57,58
744,0001011101000000,20,344,38,39
745,1001011101000000,1,325,57,58
746,0101011101000000,20,344,38,39
747,1101011101000000,1,325,57,58
748,0011011101000000,26,350,32,33
749,1011011101000000,1,325,57,58
750,0111011101000000,26,350,32,33
751,1111011101000000,1,325,57,58
752,0000111101000000,26,350,32,33
753,1000111101000000,1,325,57,58
754,0100111101000000,26,350,32,33
755,1100111101000000,1,325,57,58
756,0010111101000000,28,352,30,31
757,1010111101000000,1,325,57,58
758,0110111101000000,28,352,30,31
759,1110111101000000,1,325,57,58
760,0001111101000000,21,345,37,38
761,1001111101000000,1,325,57,58
762,0101111101000000,21,345,37,38
763,1101111101000000,1,325,57,58
764,0011111101000000,28,352,30,31
765,1011111101000000,1,325,57,58
766,0111111101000000,28,352,30,31
767,1111111101000000,1,325,57,58
768,0000000011000000,18,342,40,41
769,1000000011000000,1,325,57,58
770,0100000011000000,18,342,40,41
771,1100000011000000,1,325,57,58
772,0010000011000000,30,354,28,29
773,1010000011000000,1,325,57,58
774,0110000011000000,30,354,28,29
775,1110000011000000,1,325,57,58
776,0001000011000000,7,331,51,52
777,1001000011000000,1,325,57,58
778,0101000011000000,7,331,51,52
779,1101000011000000,1,325,57,58
780,0011000011000000,27,351,31,32
781,1011000011000000,1,325,57,58
782,0111000011000000,27,351,31,32
783,1111000011000000,1,325,57,58
784,0000100011000000,30,354,28,29
785,1000100011000000,1,325,57,58
786,0100100011000000,30,354,28,29
787,1100100011000000,1,325,57,58
788,0010100011000000,30,354,28,29
789,1010100011000000,1,325,57,58
790,0110100011000000,30,354,28,29
791,1110100011000000,1,325,57,58
792,0001100011000000,19,343,39,40
793,1001100011000000,1,325,57,58
794,0101100011000000,19,343,39,40
795,1101100011000000,1,325,57,58
796,0011100011000000,27,351,31,32
797,1011100011000000,1,325,57,58
798,0111100011000000,27,351,31,32
799,1111100011000000,1,325,57,58
800,0000010011000000,19,343,39,40
801,1000010011000000,1,325,57,58
802,0100010011000000,19,343,39,40
803,1100010011000000,1,325,57,58
804,0010010011000000,27,351,31,32
805,1010010011000000,1,325,57,58
806,0110010011000000,27,351,31,32
807,1110010011000000,1,325,57,58
808,0001010011000000,12,336,46,47
809,1001010011000000,1,325,57,58
810,0101010011000000,12,336,46,47
811,1101010011000000,1,325,57,58
812,0011010011000000,25,349,33,34
813,1011010011000000,1,325,57,58
814,0111010011000000,25,349,33,34
815,1111010011000000,1,325,57,58
